,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Pyaozerskiy,100,RU,1562887822,77,65.83,31.17,42.89,18.16
1,Buin,29,CL,1562887823,71,-33.73,-70.74,53.6,5.82
2,Hobart,75,AU,1562887824,61,-42.88,147.33,48.2,19.46
3,Yellowknife,90,CA,1562887826,82,62.45,-114.38,59.0,4.7
4,Qaanaaq,0,GL,1562887827,48,77.48,-69.36,46.67,7.92
5,Albany,90,US,1562887828,100,42.65,-73.75,78.8,4.27
6,Vaini,98,IN,1562887725,92,15.34,74.49,76.19,1.86
7,Charters Towers,21,AU,1562887749,50,-20.07,146.27,67.37,11.52
8,Erzin,0,TR,1562887831,69,36.95,36.2,82.0,6.93
9,Dalvik,40,SE,1562887833,93,57.79,14.13,62.01,3.36
10,Santa Lucia,0,IT,1562887834,78,41.98,12.66,73.4,2.24
11,Cabo San Lucas,5,MX,1562887644,48,22.89,-109.91,98.01,6.93
12,Dikson,78,RU,1562887598,94,73.51,80.55,34.43,10.27
13,Punta Arenas,90,CL,1562887837,93,-53.16,-70.91,41.0,14.99
14,Praia da Vitoria,20,PT,1562887838,88,38.73,-27.07,70.0,2.55
15,Tarko-Sale,37,RU,1562887840,71,64.92,77.78,72.0,17.63
16,Wittelsheim,0,FR,1562887841,87,47.8,7.24,63.0,5.82
17,Saint Anthony,1,US,1562887842,18,43.97,-111.68,91.4,17.22
18,Busselton,78,AU,1562887843,99,-33.64,115.35,45.0,8.77
19,Nagorsk,45,RU,1562887845,97,59.32,50.8,46.49,3.71
20,Rikitea,22,PF,1562887846,80,-23.12,-134.97,73.67,17.36
21,Imbituba,0,BR,1562887816,93,-28.24,-48.67,59.0,2.24
22,Mataura,100,NZ,1562887570,80,-46.19,168.86,46.0,4.0
23,Guerrero Negro,0,MX,1562887849,83,27.97,-114.04,67.91,22.59
24,Kamaishi,75,JP,1562887807,100,39.28,141.86,62.6,4.7
25,Hithadhoo,21,MV,1562887851,73,-0.6,73.08,84.11,10.78
26,Gillette,27,US,1562887853,32,44.29,-105.5,91.0,3.0
27,Ponta do Sol,0,BR,1562887854,58,-20.63,-46.0,56.57,2.84
28,Hudiksvall,84,SE,1562887855,60,61.73,17.1,48.65,1.07
29,Xichang,100,CN,1562887856,95,27.88,102.25,56.39,2.3
30,Saint-Philippe,90,CA,1562887857,100,45.36,-73.48,79.0,3.36
31,Butaritari,33,KI,1562887740,76,3.07,172.79,84.47,12.03
32,Upernavik,16,GL,1562887776,86,72.79,-56.15,45.05,7.49
33,Bathsheba,40,BB,1562887564,74,13.22,-59.52,82.4,16.11
34,Svetlaya,99,RU,1562887862,61,46.54,138.33,69.71,5.79
35,Provideniya,0,RU,1562887582,82,64.42,-173.23,55.4,11.18
36,Bubaque,99,GW,1562887864,84,11.28,-15.83,80.15,8.86
37,Tasiilaq,11,GL,1562887865,72,65.61,-37.64,35.33,3.62
38,Bilibino,47,RU,1562887412,27,68.06,166.44,79.43,10.54
39,Kawalu,84,ID,1562887868,90,-7.38,108.21,66.47,3.36
40,Serra Branca,24,BR,1562887869,89,-7.57,-40.23,66.29,9.66
41,Verkhnevilyuysk,95,RU,1562887870,52,63.45,120.31,76.73,3.58
42,Ilulissat,40,GL,1562887470,81,69.22,-51.1,46.4,4.7
43,Port Hedland,73,AU,1562887872,39,-20.31,118.58,62.6,8.05
44,Dunedin,97,NZ,1562887432,87,-45.87,170.5,48.0,23.0
45,Katsuura,90,JP,1562887778,94,33.93,134.5,77.0,4.7
46,Pinega,62,RU,1562887876,96,64.7,43.39,39.83,6.93
